"text","unified_label"
" Please welcome, Margot.","Skip"
" I like to say this, but hi, Bobby.","Skip"
" Hi, Bobby.","Skip"
" Hi, Bobby.","Skip"
" I can't.","Skip"
" I can't.","Skip"
" I can't.","Skip"
" So yeah.","Skip"
" Oh, yeah.","Skip"
" Of course.","Skip"
" Margot, we saw you arrive pulling a pink suitcase and the Barbie look has really been","Skip"
" leaning in.","Skip"
" You're leaning in.","Skip"
" So where does Margot end and Bobby begin?","Skip"
" I don't even know anymore.","Skip"
" It's just a pink fever dream at this point.","Skip"
" So I never thought I'd own so many pink things in my life.","Skip"
" But yeah, like I said, I'm leaning in and loving it.","Skip"
" It's fun.","Skip"
" Have you had kids coming up recognising you as Barbie first?","Skip"
" Oh, do you know what?","Skip"
" Today, when we were at icebergs, we were walking down to get a photo and I heard a dad","Skip"
" say to the wee little girl.","Skip"
" He said, that's Barbie.","Skip"
" And she went.","Skip"
" And I was like, oh, it was really cute.","Skip"
" Oh, yeah.","Skip"
" Poppy is real.","Skip"
" Yeah.","Skip"
" Greta, I came to this movie thinking it was a movie about dolls.","Skip"
" But it's not.","Skip"
" Is it?","Skip"
" Well, it is in a way.","Skip"
" It's about, I mean, it's about Barbie.","Skip"
" But it's also about human beings and where the people that make dolls and then love","Skip"
" the dolls and then get mad at the dolls and then make the dolls different than they are.","Skip"
" But yeah, it's really about people.","Skip"
" So who's a movie for?","Skip"
" Who's a movie for?","Skip"
" It's for everybody.","Skip"
" I don't feel like that.","Skip"
" So really, what does it tell us to say that?","Skip"
" We genuinely wanted to make something that everyone would just have a great time watching","Skip"
" and I think we did that.","Skip"
" We all did.","Skip"
" We were allowed to watch half an hour of it.","Skip"
" So I don't know if you'd love to.","Skip"
" I would love to.","Skip"
" Absolutely.","Skip"
" When I'm in the door.","Skip"
" We wanted more.","Skip"
" Yeah.","Skip"
" I do have a question.","Skip"
" Is Barbie a feminist?","Skip"
" Sure.","Skip"
" Yeah.","Skip"
" Yeah.","Skip"
